Column1,glasgow,america-1,america-2,america-22,Column6
1,17.135581,228.196525,,,
2,264.520425,381.551016,,,
3,36.800891,358.088739,,,
4,91.728542,229.799259,,,
5,18.576035,229.13592,,,
6,114.733157,230.846962,,,
7,351.445142,228.625014,,,
8,19.586177,228.629755,,,
9,16.710372,228.91347,,,
10,16.394931,230.600444,,,
11,17.77558,228.811362,,,
12,20.236752,678.634843,,,
13,29.797728,299.261648,,,
14,210.524876,228.398188,,,
15,153.653158,229.982689,,,
16,48.66623,227.066771,,,
17,16.640721,230.669367,,,
18,17.094737,232.392078,,,
19,17.69827,228.625379,,,
20,17.885347,238.966023,,,
21,17.432789,229.746017,,,
22,129.915552,346.879445,,,
23,42.221379,244.278202,,,
24,236.455255,230.081516,,,
25,176.698981,240.1709,,,
26,73.745099,227.983191,,,
27,25.210516,227.785904,,,
28,17.080514,227.330428,,,
29,15.876002,226.851249,,,
30,15.799057,227.543761,,,
31,16.947045,231.235702,,,
32,123.105665,335.206289,,,
33,38.744594,328.896002,,,
34,16.704173,231.353491,,,
35,211.920477,237.943117,,,
36,110.534321,228.755932,,,
37,16.733712,228.695032,,,
38,16.443432,231.634654,,,
39,20.784125,236.368828,,,
40,19.779089,227.620708,,,
41,45.204032,227.522975,,,
42,248.718451,267.071671,,,
43,57.311148,387.783264,,,
44,107.668727,309.475386,,,
45,17.34782,374.603282,,,
46,122.668423,294.827964,,,
47,208.76351,226.77795,,,
48,21.079874,227.195135,,,
49,16.036094,229.130815,,,
50,16.225723,228.51233,,,
51,16.388732,226.604731,,,
52,231.598187,429.833611,,,
53,580.145643,284.790363,,,
54,191.631941,228.060502,,,
55,278.511073,227.672856,,,
56,59.197962,233.365024,,,
57,18.591717,230.739019,,,
58,19.107363,227.522975,,,
59,17.550577,228.10171,,,
60,18.37109,227.812525,,,
61,17.577563,229.999829,,,
62,131.209409,401.642994,,,
63,164.236309,343.951857,,,
64,48.407313,230.11543,,,
65,16.454373,228.237368,,,
66,104.487692,226.826087,,,
67,15.341758,231.605845,,,
68,18.433813,228.093687,,,
69,17.661073,229.521014,,,
70,19.217494,232.522266,,,
71,16.835455,236.403472,,,
72,285.693656,384.826867,,,
73,42.925196,261.70078,,,
74,99.540914,231.845799,,,
75,21.204957,236.252498,,,
76,120.767752,231.507383,,,
77,25.338151,228.874085,,,
78,16.634156,526.241627,,,
79,18.484867,232.553628,,,
80,19.977106,229.438599,,,
81,18.30326,235.770037,,,
82,86.343429,358.99896,,,
83,22.623167,232.187497,,,
84,216.744725,238.638182,,,
85,161.427969,229.680376,,,
86,59.809517,239.509749,,,
87,20.350895,229.061162,,,
88,21.400421,231.577765,,,
89,25.792169,230.938495,,,
90,28.975756,236.12778,,,
91,17.030919,228.411681,,,
92,124.533356,313.501367,,,
93,144.493687,270.093345,,,
94,41.030724,354.591898,,,
95,16.342783,582.756331,,,
96,98.15516,574.406433,,,
97,19.911465,230.549389,,,
98,16.794247,226.897198,,,
99,18.497267,230.642016,,,
100,18.169062,227.490155,,,
101,20.075932,231.102597,,,
102,248.991955,323.908016,,,
103,34.879069,384.304292,,,
104,119.709473,235.700748,,,
105,161.395148,230.972045,,,
106,111.34207,228.689562,,,
107,56.770339,238.144052,,,
108,25.574824,229.06408,,,
109,18.267887,240.088849,,,
110,18.778429,227.498178,,,
111,24.598961,236.601488,,,
112,88.324693,310.665676,,,
113,20.932183,242.618944,,,
114,199.935161,236.6055,,,
115,139.818225,230.105583,,,
116,35.381587,228.738063,,,
117,17.699728,227.386953,,,
118,17.160743,229.043294,,,
119,18.08628,229.373686,,,
120,26.018265,234.554584,,,
121,18.241266,536.68766,,,
122,83.544205,296.987553,,,
123,148.578016,291.191818,,,
124,48.691757,235.89293,,,
125,16.264014,227.804867,,,
126,77.136915,227.938337,,,
127,19.053756,232.043087,,,
128,19.120126,235.802127,,,
129,16.323091,229.133732,,,
130,30.655801,227.602838,,,
131,135.364484,226.601449,,,
132,46.541285,264.938704,,,
133,243.971878,280.55032,,,
134,160.663615,232.075543,,,
135,94.358558,239.572473,,,
136,25.880783,227.512035,,,
137,18.115819,235.613592,,,
138,17.411637,229.250792,,,
139,17.470714,528.841739,,,
